fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
1488,330.93862,0.95,59886.22241,21.65,299,0.00205,1.39887,ztfr,-1
441,319.53365,-2.65,59886.2231,21.65,299,0.11238,1.74017,ztfg,-1
546,333.83662,11.75,59886.22669,21.65,299,0.11079,1.2302,ztfg,-1
442,326.5625,-2.65,59886.23028,21.65,299,0.10796,1.61839,ztfg,-1
494,330.18472,4.55,59886.23386,21.65,299,0.09821,1.41548,ztfg,-1
493,323.17384,4.55,59886.23745,21.65,299,0.09689,1.59623,ztfg,-1
545,326.85237,11.75,59886.24104,21.65,299,0.05118,1.4123,ztfg,-1
547,340.82087,11.75,59886.24463,21.65,299,0.0405,1.22449,ztfg,-1
597,339.62582,18.95,59886.24822,21.65,299,0.01893,1.1891,ztfg,-1
495,337.1956,4.55,59886.2518,21.65,299,0.01192,1.40601,ztfg,-1
596,332.376,18.95,59886.25539,21.65,299,0.01104,1.32016,ztfg,-1
1487,324.05338,0.95,59886.25898,21.65,299,0.00922,1.93057,ztfg,-1
1540,327.66364,8.15,59886.26257,21.65,299,0.00531,1.64561,ztfg,-1
1541,334.52308,8.15,59886.26616,21.65,299,0.00395,1.49952,ztfg,-1
1593,340.23348,15.35,59886.26974,21.65,299,0.00241,1.31408,ztfg,-1
1592,333.1187,15.35,59886.27333,21.65,299,0.00232,1.47448,ztfg,-1
1488,330.93862,0.95,59886.27692,21.65,299,0.00205,1.91281,ztfg,-1
